Entry,Customer Placed Order Time(min),Placed Order with Restaurant Time(min),OPtoORTime(min)Delta,Driver at Restaurant Time(min),DRfmOPTime(min) Delta,DRfmORTime(min) Delta,Delivered to Customer Time(min),OCfmOPTime(min) Delta,OCfmORTime(min) Delta,OCfmDRTime(min) Delta,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount
15674,136,155,19,167,31,11,201,65,45,34,345,207,4758,Palo Alto,TRUE,37.43,0,3.74,0
15683,112,131,19,159,47,29,199,86,68,39,345,72,95216,Palo Alto,TRUE,60.94,6,5.04,0
15687,156,188,32,0,-156,-188,220,64,31,220,345,12,2989,Palo Alto,TRUE,16.88,0,0.5,0
15691,1078,1079,1,1104,26,25,1151,72,72,47,345,68,4431,Palo Alto,FALSE,96.59,0,4.16,0
15704,1055,1085,30,1102,47,17,1131,76,46,29,345,3,7649,Palo Alto,FALSE,105.45,0,3.94,23.53
15709,135,166,31,186,51,20,205,70,39,19,345,7,3395,Palo Alto,FALSE,66.68,0,3.33,0
15710,1162,1189,27,1205,43,16,1226,64,37,22,345,233,1101,Palo Alto,TRUE,17.39,0,0.87,0
15713,130,150,21,0,-130,-150,193,63,42,193,345,62,12480,Palo Alto,TRUE,22.86,0,1.14,0
15714,1136,1158,22,1183,48,26,1217,81,59,33,345,8,6321,Palo Alto,TRUE,23.89,0,3,0
15725,1144,1146,2,1157,13,12,1217,73,71,60,345,8,1715,Palo Alto,TRUE,70,0,8.82,0
15735,143,228,85,235,93,8,260,117,32,24,345,14,5982,Palo Alto,FALSE,22.31,0,2.25,0
15740,142,148,6,0,-142,-148,237,95,90,237,345,8,7812,Palo Alto,TRUE,23.4,0,0.8,0
15745,130,168,38,0,-130,-168,243,112,75,243,345,8,6233,Palo Alto,TRUE,26.12,0,1.31,0
15748,118,166,48,0,-118,-166,233,115,67,233,345,68,724,Palo Alto,TRUE,37.54,0,1.45,0
15750,108,136,29,145,38,9,174,67,38,29,345,28,8402,Palo Alto,TRUE,16.82,0,0.49,0
